epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,317.277,0.98456,0.35437,0.09715,0.55831,0.89526,0.91438,0.77563,0.85946,0.59291,0.26145,0.09955,0.05405,0.03502,0.94082,0.24476,0.09707,0.54947,0.91145,0.0019308,0.0019308,0.0019308
38,325.744,0.96393,0.36211,0.09571,0.55937,0.90917,0.9447,0.76309,0.86152,0.59911,0.27628,0.09949,0.05587,0.03517,0.92566,0.24728,0.10319,0.53563,0.90962,0.0019011,0.0019011,0.0019011
39,333.846,0.94352,0.37919,0.10618,0.54365,0.90771,0.93865,0.78782,0.86622,0.5889,0.29617,0.09949,0.06342,0.04082,0.97403,0.26743,0.08085,0.54888,0.91935,0.0018714,0.0018714,0.0018714
40,342.377,0.94702,0.35612,0.10365,0.55472,0.90705,0.92353,0.79697,0.87655,0.60305,0.26758,0.09848,0.05367,0.03467,0.9404,0.24546,0.08406,0.55453,0.9135,0.0018417,0.0018417,0.0018417
41,350.523,0.938,0.37073,0.09744,0.55576,0.90588,0.9293,0.78071,0.87058,0.60146,0.29255,0.09949,0.0655,0.04236,0.93389,0.2493,0.07927,0.54101,0.90597,0.001812,0.001812,0.001812
42,358.643,0.9311,0.33257,0.08817,0.53901,0.90081,0.93977,0.79197,0.87144,0.60069,0.25495,0.10051,0.06421,0.04197,0.92403,0.23506,0.08226,0.53774,0.90352,0.0017823,0.0017823,0.0017823
43,366.752,0.94388,0.34649,0.0904,0.54516,0.89912,0.91089,0.79492,0.86562,0.58792,0.30368,0.09949,0.06564,0.04095,0.94777,0.25416,0.08985,0.54601,0.90792,0.0017526,0.0017526,0.0017526
44,374.987,0.95068,0.35632,0.09675,0.54527,0.90486,0.91431,0.79078,0.86948,0.5948,0.31567,0.09746,0.07011,0.04499,0.94623,0.25127,0.08816,0.54687,0.91378,0.0017229,0.0017229,0.0017229
45,382.927,0.96284,0.34445,0.09289,0.5456,0.9027,0.9217,0.79594,0.87313,0.59828,0.31288,0.10152,0.07204,0.04612,0.94039,0.24212,0.09036,0.54475,0.9112,0.0016932,0.0016932,0.0016932
46,391.461,0.94753,0.34852,0.09248,0.54739,0.90142,0.93241,0.77022,0.86754,0.60712,0.29713,0.10355,0.05621,0.03676,0.92083,0.23928,0.09816,0.53202,0.90616,0.0016635,0.0016635,0.0016635
47,399.561,0.91589,0.32135,0.07901,0.52351,0.88483,0.90763,0.78579,0.87434,0.60458,0.29689,0.10152,0.05663,0.03776,0.92128,0.23779,0.09727,0.53169,0.90565,0.0016338,0.0016338,0.0016338
48,407.702,0.89684,0.34179,0.09053,0.52557,0.89802,0.92385,0.78985,0.87038,0.6139,0.3233,0.10186,0.06214,0.04302,0.90594,0.22275,0.0834,0.52343,0.89978,0.0016041,0.0016041,0.0016041
49,416.171,0.9052,0.30668,0.08229,0.51792,0.88922,0.94407,0.79289,0.87404,0.60611,0.28159,0.10254,0.05897,0.03984,0.91378,0.23318,0.08004,0.51611,0.90198,0.0015744,0.0015744,0.0015744
50,424.449,0.89628,0.31078,0.09553,0.51557,0.88879,0.94745,0.78707,0.88062,0.61474,0.33399,0.10254,0.06594,0.04435,0.89681,0.21956,0.08179,0.5167,0.89773,0.0015447,0.0015447,0.0015447
51,432.946,0.90691,0.29375,0.07362,0.51775,0.8869,0.92276,0.77462,0.87762,0.61423,0.35469,0.10051,0.06742,0.04341,0.89058,0.2383,0.08189,0.51996,0.89769,0.001515,0.001515,0.001515
52,441.298,0.88968,0.32637,0.08563,0.51795,0.89114,0.92743,0.79289,0.87362,0.60474,0.30778,0.10152,0.06409,0.04221,0.90387,0.23532,0.0833,0.51501,0.89988,0.0014853,0.0014853,0.0014853
53,449.777,0.89963,0.32648,0.07914,0.51196,0.87922,0.93677,0.79721,0.87637,0.61059,0.3047,0.10355,0.06721,0.04294,0.8824,0.23084,0.09103,0.51659,0.89576,0.0014556,0.0014556,0.0014556
54,458.07,0.87574,0.333,0.08921,0.50988,0.88582,0.91021,0.79289,0.87307,0.6123,0.26651,0.10355,0.05823,0.03858,0.88618,0.22181,0.08841,0.51451,0.8982,0.0014259,0.0014259,0.0014259
55,466.289,0.90855,0.2898,0.07735,0.51434,0.88361,0.92982,0.79362,0.87019,0.61038,0.29006,0.10355,0.06764,0.0454,0.88487,0.22191,0.0945,0.50467,0.89717,0.0013962,0.0013962,0.0013962
56,474.792,0.86463,0.31491,0.07889,0.50287,0.88532,0.93093,0.80406,0.88412,0.62836,0.27277,0.10355,0.07235,0.04789,0.86753,0.22473,0.08513,0.49533,0.8968,0.0013665,0.0013665,0.0013665
57,483.136,0.8764,0.30151,0.08034,0.5062,0.88671,0.92648,0.80597,0.88919,0.63152,0.26693,0.10254,0.06661,0.04482,0.86624,0.2221,0.08954,0.49289,0.89344,0.0013368,0.0013368,0.0013368
58,491.205,0.87584,0.28522,0.07422,0.49655,0.88231,0.92434,0.78141,0.87499,0.62655,0.2569,0.10051,0.06096,0.04228,0.86152,0.22922,0.09788,0.48552,0.89004,0.0013071,0.0013071,0.0013071
59,499.226,0.85407,0.28022,0.06694,0.4982,0.87423,0.93458,0.79695,0.8915,0.62816,0.31503,0.10152,0.0731,0.05001,0.86905,0.22844,0.09567,0.494,0.89523,0.0012774,0.0012774,0.0012774
60,507.676,0.84875,0.28837,0.06971,0.49521,0.88446,0.93607,0.80267,0.887,0.63367,0.31881,0.10254,0.07333,0.05233,0.85338,0.21417,0.09354,0.48698,0.89119,0.0012477,0.0012477,0.0012477
61,515.901,0.84923,0.30643,0.09057,0.49177,0.88129,0.92658,0.81015,0.88813,0.62782,0.29757,0.10355,0.0665,0.04613,0.84719,0.21016,0.08845,0.48594,0.88841,0.001218,0.001218,0.001218
62,524.415,0.85136,0.29501,0.0812,0.49426,0.88869,0.92785,0.79695,0.88492,0.63294,0.28453,0.10254,0.05953,0.04036,0.85503,0.20683,0.0988,0.49025,0.89119,0.0011883,0.0011883,0.0011883
63,532.891,0.84499,0.27276,0.07545,0.48949,0.8753,0.93154,0.80102,0.88565,0.62326,0.32022,0.10051,0.06976,0.04845,0.86568,0.19842,0.09456,0.4916,0.89009,0.0011586,0.0011586,0.0011586
64,541.282,0.8302,0.28879,0.07679,0.4866,0.87377,0.92782,0.79492,0.88259,0.62869,0.33577,0.10254,0.07218,0.04935,0.84901,0.21573,0.08817,0.48984,0.88785,0.0011289,0.0011289,0.0011289
65,549.423,0.84154,0.27104,0.07036,0.48758,0.87289,0.93929,0.78535,0.8808,0.63207,0.28153,0.10152,0.06515,0.04475,0.84935,0.21029,0.09781,0.49542,0.88688,0.0010992,0.0010992,0.0010992
66,557.811,0.82334,0.30739,0.07088,0.48514,0.86948,0.92921,0.79954,0.88313,0.62383,0.29112,0.10152,0.06243,0.04396,0.86217,0.21143,0.09284,0.49701,0.89064,0.0010695,0.0010695,0.0010695
67,565.623,0.83285,0.26686,0.06202,0.4821,0.86942,0.92732,0.79289,0.88451,0.6278,0.29249,0.10355,0.05825,0.03801,0.8604,0.21486,0.09502,0.49817,0.88711,0.0010398,0.0010398,0.0010398
68,574.285,0.85183,0.26489,0.06968,0.49109,0.87538,0.92829,0.80711,0.88739,0.63045,0.25776,0.10152,0.05198,0.03175,0.85024,0.22132,0.09996,0.487,0.88597,0.0010101,0.0010101,0.0010101
69,582.578,0.82598,0.28693,0.06701,0.47846,0.87248,0.93807,0.80812,0.88845,0.63412,0.26159,0.10355,0.05419,0.0351,0.83633,0.21211,0.08981,0.48064,0.88501,0.0009804,0.0009804,0.0009804
70,590.985,0.81736,0.26676,0.07144,0.47196,0.87299,0.93945,0.80338,0.88406,0.63875,0.26761,0.10355,0.06308,0.04459,0.82958,0.19507,0.08491,0.47034,0.88372,0.0009507,0.0009507,0.0009507
71,599.318,0.79472,0.24111,0.06555,0.46066,0.86537,0.93326,0.80609,0.88991,0.63564,0.30161,0.10457,0.06948,0.04641,0.84194,0.19368,0.08542,0.47103,0.88609,0.000921,0.000921,0.000921
72,607.429,0.82145,0.25589,0.06062,0.4679,0.86992,0.92472,0.79808,0.88693,0.6408,0.33185,0.10254,0.06915,0.0477,0.82041,0.19294,0.07745,0.4694,0.88537,0.0008913,0.0008913,0.0008913
73,615.833,0.80825,0.23472,0.05581,0.46513,0.868,0.91439,0.81015,0.89174,0.63643,0.29577,0.10254,0.06111,0.04524,0.83301,0.18847,0.07957,0.47712,0.8878,0.0008616,0.0008616,0.0008616
74,624.132,0.78776,0.27734,0.06326,0.46221,0.86862,0.93735,0.8,0.88705,0.63938,0.31621,0.10254,0.07092,0.05176,0.8367,0.19888,0.08313,0.47816,0.88633,0.0008319,0.0008319,0.0008319
75,632.503,0.7875,0.24837,0.05762,0.45617,0.865,0.93808,0.81117,0.8938,0.6403,0.31273,0.10254,0.07678,0.05605,0.8307,0.20658,0.08034,0.4727,0.88124,0.0008022,0.0008022,0.0008022
76,640.481,0.78901,0.23685,0.0662,0.45505,0.87014,0.94107,0.81117,0.89212,0.64777,0.26906,0.10254,0.06206,0.04495,0.82943,0.20142,0.07763,0.46564,0.88122,0.0007725,0.0007725,0.0007725
77,648.553,0.79883,0.24618,0.06517,0.46316,0.86654,0.93124,0.81015,0.89667,0.64465,0.25291,0.10254,0.06028,0.04226,0.83067,0.2069,0.08996,0.46547,0.8801,0.0007428,0.0007428,0.0007428
78,656.591,0.78963,0.26091,0.07055,0.45926,0.86488,0.94016,0.81354,0.89663,0.64347,0.25858,0.10152,0.06418,0.04583,0.82346,0.19726,0.07876,0.46862,0.88035,0.0007131,0.0007131,0.0007131
79,664.82,0.78068,0.25,0.05492,0.46235,0.87198,0.93578,0.8264,0.89742,0.64141,0.28061,0.10152,0.07008,0.05121,0.82216,0.19336,0.08001,0.46727,0.8811,0.0006834,0.0006834,0.0006834
80,672.927,0.79623,0.26613,0.05785,0.46429,0.86508,0.95477,0.8132,0.89516,0.6459,0.30261,0.10152,0.07774,0.05474,0.81679,0.20349,0.08243,0.46054,0.87938,0.0006537,0.0006537,0.0006537
81,681.284,0.77229,0.24865,0.06894,0.45349,0.86367,0.95441,0.80711,0.89468,0.64699,0.28139,0.10152,0.07054,0.052,0.8146,0.18915,0.08588,0.46497,0.87856,0.000624,0.000624,0.000624
82,689.343,0.78778,0.24399,0.05375,0.45602,0.86218,0.9386,0.82257,0.89818,0.65176,0.28018,0.10254,0.07024,0.05198,0.80577,0.18208,0.07551,0.45715,0.87632,0.0005943,0.0005943,0.0005943
83,697.575,0.7762,0.25403,0.05878,0.44706,0.85593,0.93366,0.81929,0.89833,0.64755,0.29079,0.10198,0.07504,0.05555,0.8187,0.18231,0.07598,0.45374,0.87848,0.0005646,0.0005646,0.0005646
84,705.851,0.75999,0.24342,0.04986,0.44104,0.86083,0.94425,0.81523,0.90122,0.65092,0.28672,0.10254,0.07968,0.06057,0.81642,0.17394,0.08224,0.4478,0.87878,0.0005349,0.0005349,0.0005349
85,714.09,0.76194,0.22257,0.0494,0.44355,0.85712,0.93546,0.8132,0.8962,0.65202,0.31313,0.10254,0.08738,0.0662,0.80586,0.17618,0.08838,0.44508,0.87805,0.0005052,0.0005052,0.0005052
86,722.552,0.75081,0.21822,0.04981,0.43904,0.85118,0.92696,0.82456,0.90161,0.65765,0.3129,0.10254,0.08028,0.06206,0.80274,0.17556,0.09013,0.4439,0.87952,0.0004755,0.0004755,0.0004755
87,730.576,0.76484,0.2261,0.05053,0.44541,0.85973,0.92835,0.82875,0.90276,0.65703,0.28234,0.10254,0.07239,0.05474,0.79816,0.17655,0.09106,0.44276,0.87832,0.0004458,0.0004458,0.0004458
88,738.926,0.76007,0.21852,0.0593,0.43965,0.85979,0.9317,0.81705,0.89999,0.65808,0.28232,0.10254,0.07052,0.05412,0.79654,0.16998,0.09037,0.44621,0.87744,0.0004161,0.0004161,0.0004161
89,747.133,0.763,0.24032,0.05962,0.44648,0.86266,0.92577,0.82304,0.90448,0.65923,0.29326,0.10254,0.07007,0.0531,0.79493,0.16926,0.0904,0.44519,0.87611,0.0003864,0.0003864,0.0003864
90,755.667,0.75136,0.22211,0.04611,0.43317,0.85684,0.93673,0.82666,0.90509,0.66176,0.30097,0.10254,0.0717,0.05462,0.79106,0.16636,0.09262,0.4402,0.87407,0.0003567,0.0003567,0.0003567
91,766.581,0.71345,0.13226,0.02849,0.42589,0.83724,0.92835,0.82335,0.90211,0.65666,0.30911,0.10355,0.07706,0.05845,0.80384,0.16518,0.0782,0.44274,0.87504,0.000327,0.000327,0.000327
92,774.73,0.71806,0.1427,0.03042,0.41886,0.83665,0.93418,0.8203,0.89943,0.65568,0.30806,0.10355,0.07974,0.06105,0.78987,0.16136,0.07159,0.44263,0.87144,0.0002973,0.0002973,0.0002973
93,782.722,0.71265,0.12391,0.03011,0.41888,0.83648,0.93566,0.82132,0.8994,0.6527,0.29331,0.10355,0.06941,0.05281,0.79193,0.15822,0.07655,0.44626,0.87248,0.0002676,0.0002676,0.0002676
94,790.346,0.70987,0.12999,0.02586,0.41687,0.83606,0.93089,0.8264,0.90326,0.65355,0.28294,0.10355,0.06869,0.05425,0.79541,0.15557,0.08071,0.4436,0.87223,0.0002379,0.0002379,0.0002379
95,797.924,0.70883,0.13032,0.02627,0.41483,0.84229,0.93421,0.82178,0.90115,0.65485,0.29968,0.10457,0.07486,0.05892,0.79239,0.15465,0.08107,0.44165,0.87128,0.0002082,0.0002082,0.0002082
96,805.671,0.68534,0.11091,0.02393,0.40172,0.8357,0.9283,0.82741,0.9028,0.65582,0.30725,0.10355,0.07348,0.05817,0.79233,0.15233,0.08686,0.43985,0.86992,0.0001785,0.0001785,0.0001785
97,813.326,0.68487,0.12216,0.03042,0.39875,0.83,0.93012,0.82433,0.89935,0.65761,0.30099,0.10355,0.0724,0.05633,0.79453,0.15335,0.09036,0.4429,0.87082,0.0001488,0.0001488,0.0001488
98,820.924,0.70216,0.12251,0.02622,0.40932,0.83658,0.93567,0.81929,0.90192,0.65844,0.31072,0.10355,0.0779,0.06054,0.79178,0.1539,0.08873,0.43725,0.87116,0.0001191,0.0001191,0.0001191
99,828.555,0.68507,0.12624,0.02572,0.40031,0.8333,0.93967,0.82132,0.90095,0.65946,0.32186,0.10355,0.08208,0.06449,0.78888,0.15279,0.08363,0.43597,0.87077,8.94e-05,8.94e-05,8.94e-05
100,836.36,0.67392,0.11507,0.02293,0.39383,0.82231,0.94597,0.8176,0.902,0.66043,0.31837,0.10457,0.08525,0.06708,0.78565,0.15268,0.08337,0.43495,0.87036,5.97e-05,5.97e-05,5.97e-05
